artist_id	artist_name	genres
47	TesseracT	Moshcore|Jam rock|Virtual band|Music of Rostov|Grunge|Breakbeat hardcore|Deathcore|Sludge metal|Melodic hardcore
48	Enigma	Grunge|Doo-wop|Punk blues|Salsa|Techno|Metallic Doom Rock|Alternative dance|Classical Piano|Micronesian|Virtual band|Acid techno|Psychedelic rock|Pop|Verdiales|Electronic opera|Polkacore|Old school hip hop|Intelligent drum and bass
49	Take That	Glam rock|Electronic opera|Acid rock|les Fleurs de Fouxi|Pop|Melodic hardcore|les Fleurs de Fouxi|Metallic Doom Rock|Neo-classical metal|Sacred|Grime|Early|Gospel|Power trio
50	Xenn	Metallic Doom Rock|Grunge|Sogak|Mozarabic chant|Alternative metal
51	Lamb of God	Deathcore|Jam rock|Folk metal|Drum and bass|Grindcore|Seven-string guitar|Goregrind|Pop|Disc jockey|Changui|Blues|Post-rock|Christian punk|Emo
52	Judas Priest	Jam rock|Emo|Grindcore|Samba|Pop|Mathcore|Pop punk|Psychobilly|Folk metal|Melodic hardcore
53	Kevin Ayers	Adult album alternative|Music of Montenegro|Bhangraton|Punk rock|Virtual band|Pop|Music of Rostov|Grindcore|British Invasion|Psychedelic rock|G-funk|Mozarabic chant|Metallic Doom Rock|Ramkbach|Freak folk|Mozarabic chant|Melodic hardcore|Son Huasteco|Technoid|Emo violence|Danger|Bass-Pop
54	Pink Floyd	Grindcore|Punk rock|Pop|Adult album alternative|Music of Rostov|Metallic Doom Rock|Mozarabic chant|Virtual band|Milonga|Emo|Gospel|Melodic hardcore|Educational|Sacred|Grunge|Freak folk
55	Metallica	Jam rock|Grindcore|Emo|Pop|Samba|Grindcore|Disc jockey|Industrial|Metallic Doom Rock|Mathcore|Gospel|Post-rock|Psychobilly
56	Pantera	Jam rock|Deathcore|Grindcore|Psychobilly|Disc jockey|Pop|Emo|Funk metal|Seven-string guitar|Drum and bass|Samba|Sludge metal
57	Fall Out Boy	Pop|Industrial|Metallic Doom Rock|Japanese Pop|Nu metal|Gospel|Sacred|Psychedelic rock|Acid rock|Goa trance|Post-punk|Seven-string guitar|Oriental metal|Jam rock|Acid rock|Electronic opera
58	Lunatic Soul	Grunge|Virtual band|Adult album alternative|Music of Rostov|Pop|Punk rock|Mozarabic chant|Metallic Doom Rock|Black gospel|Modal jazz|Doo-wop|Post-rock|Bozlak|Gospel|Educational
59	Children of Bodom	Jam rock|Drum and bass|Psychobilly|Grindcore|Blues|Samba|Folk metal|Pop|Celtic Fusion|Post-rock|Jam band
60	Exodus	Jam rock|Samba|Grindcore|Disc jockey|Deathcore|Drum and bass
61	Rick Ross	Acoustic guitar|Big beat|Shoegazing|Madrigal|Chiptune|Soul, Pop, RnB, Gospel, Hip Hop|Madrigal|Psychedelic rock|No Wave
62	Frank Zappa	Virtual band|Pop|Neo-classical metal|Grindcore|Freak folk|Music of Rostov|Metallic Doom Rock|Adult album alternative|Ramkbach|Educational|British Invasion|Punk rock|Mozarabic chant|Sonata form|Belgian hip hop|Music of Montenegro|Emo|Danish hip hop|Classic rock|Freak folk|Renaissance|Electronic art|Gospel|Smithrock|Space rock|Alternative dance|Psychedelic rock|Big band|Sacred|African Rap|Emo violence|Doo-wop|Freak folk
63	Illusion	Jam rock|Pop|Seven-string guitar|Progressive rock|Grindcore|Sludge metal|Breakbeat hardcore|Metallic Doom Rock|Folk metal|Hardcore techno|Grindcore|Gospel|Technical death metal|Post-rock|Alternative rock|New Wave
64	Deep Purple	Grindcore|Pop|Breakbeat hardcore|Grindcore|Jam rock|Emo violence|Punk rock|Adult album alternative|Music of Rostov|Melodic hardcore|Metallic Doom Rock|Classic rock
65	Nine Lashes	Technical death metal|Hardcore techno|Metallic Doom Rock|Breakbeat hardcore|Rare groove|Pop|Electronica|Emo|Power noise|New Wave|Jam rock|Virtual band|New Wave of British Heavy Metal|Music of Rostov|Technical death metal|Country|Doo-wop
66	Eagles	Pop|Grime|Black metal|Synthpunk|Psychedelic rock|Emo|Oi!|Alternative rock|G-funk|Bozlak|Music of Montenegro|Classic rock|Old school hip hop|Metallic Doom Rock|Breakbeat hardcore|Acid rock|Synthpunk
67	Anathema	Breakbeat hardcore|Post-rock|Jam rock|Pop|Metallic Doom Rock|Gospel|Celtic punk|Music of Rostov|Drum and bass|Mozarabic chant|Vocal Improvisation|Modal jazz|Grunge|Virtual band|Punk rock|Melodic hardcore|Adult album alternative
68	Indukti	Breakbeat hardcore|Music of Rostov|Metallic Doom Rock|Virtual band|Jam rock|Alternative dance|Pop|Gospel|Freak folk|Hardcore techno|Modal jazz|Metalcore|Adult album alternative|Sacred|Grunge|Mozarabic chant|Freak folk|G-funk
69	Korpiklaani	Acid jazz|Jam rock|G-funk|Psychobilly|Grindcore|Skiffle
70	Kobong	Virtual band|Jam rock|Freak folk|Moshcore|Metallic Doom Rock|Freak folk|Hardcore techno|Metalcore|Pop|Music of Rostov|Christian rock|Gospel|Seven-string guitar|Metalcore|Guaguancó|Christian hip hop|Breakbeat hardcore|Educational|Doom metal|Electronic art|Deathcore|Christian hip hop|Seven-string guitar
71	Opeth	Drum and bass|Jam rock|Goregrind|Breakbeat hardcore|Music of Rostov|West Coast hip hop|Pop|Blues|Grindcore|Bozlak|Darkcore|Virtual band|Celtic punk
72	John Petrucci	Alternative dance|Breakbeat hardcore|Music of Africa|Jam rock|Music of Rostov|Pop|Grindcore|Emo
73	Joe Satriani	Music of Africa|Pop|Alternative dance|Breakbeat hardcore|Emo|Jam rock|Grindcore|Post-rock|Music of Rostov|Grindcore|Ramkbach|Classic rock|Virtual band|Metallic Doom Rock|Emo violence|Neo-classical metal
74	Genesis	Grindcore|Pop|Music of Rostov|Psychedelic rock|Mozarabic chant|Acid rock|Urban jazz|Grime|Adult album alternative|Melodic hardcore|Virtual band|Metallic Doom Rock
75	Van Halen	Grindcore|Pop|Grindcore|Jam rock|Trance|Funk metal|Breakbeat hardcore
76	Asheraah	Deathrash|Modal jazz|Deathrash
77	Stevie Ray Vaughan and Double Trouble	Emo violence|Grindcore|Pop|Blues ballad|Oi!|Emo violence|West Coast blues|Neo-classical metal|Alternative dance|Breakbeat hardcore|Power electronics
78	Gazpacho	Modal jazz|Music of Rostov|Mozarabic chant|Pop|Metallic Doom Rock|Grunge|Virtual band|Adult album alternative|Gospel|Dub poetry|Dub poetry|Punk rock|Urban jazz
79	Oasis	Pop|Metallic Doom Rock|Sacred|Gospel|Post-punk|Psychedelic rock|Melodic hardcore|Grindcore|Glam rock|Acid rock|Plena|Emo|Japanese Pop
80	Abigail's Ghost	Post-rock|Mozarabic chant|Gospel|Pop|Music of Rostov|Jam rock|Virtual band|Shahin and Sepehr|Italian folk|Hardcore techno
81	Quidam	Mozarabic chant|Music of Rostov|Pop|Industrial rock|Metallic Doom Rock|Gospel|Post-rock|Synthpop
82	Myslovitz	Pop|Gospel|Metallic Doom Rock|Sacred|Post-punk|Glam rock|Grime|Breakbeat hardcore|Psychedelic rock|Adult album alternative
83	Wooh Da Kid	Big beat|Madrigal|Shoegazing|Madrigal
84	Roxette	Pop|Acid rock|Acid rock|Grime|Electronic opera|Grindcore|Mambo|Two Tone Ska|Metallic Doom Rock|Old school hip hop|Doo-wop|Acid rock
85	Black Sabbath	Emo|Grindcore|Jam rock|Pop|West Coast hip hop|Detroit techno|Mathcore|Emo violence|Adult album alternative|Melodic hardcore|Breakbeat hardcore|Punk rock
86	The Hives	Pop|Psychedelic trance|Sacred|Japanese Pop|Post-punk|Metallic Doom Rock|Nu metal|Gospel|Freeform hardcore|Symphonic|Synthpop|Indian folk|Emo|Psychedelic rock|Power electronics|Grindcore|Glam rock|Progressive rock|Nu metal
87	Disperse	Breakbeat hardcore|Music of Rostov|Ramkbach|Jam rock|Pop|Mozarabic chant|Neo-classical metal|Virtual band|Doo-wop|Gospel|Grunge|British Invasion|Disco|Shahin and Sepehr|Dub poetry|Dub poetry|Gospel
88	The Pineapple Thief	Mozarabic chant|Music of Rostov|Pop|Gospel|Modal jazz|Virtual band|Sacred|Metallic Doom Rock|Modal jazz|Post-punk|Punk rock|Milonga|Melodic hardcore|Educational|Shahin and Sepehr
89	Killswitch Engage	Jam rock|Seven-string guitar|Goregrind|Pop|Drum and bass|Grindcore|Folk metal|Oriental metal|Emo|Metallic Doom Rock|Hardcore techno|New Wave|Industrial
90	Ananke	Psychobilly|Pop|Post-rock|Mozarabic chant|Grindcore|Jam rock|Psychedelic rock|Big band|Mozarabic chant
91	Foghat	Emo|Pop|Oi!|Emo violence|Classic rock|Adani|Emo violence|Indian folk|Grindcore|Melodic hardcore
92	Dio	Emo|Jam rock|Grindcore|Pop|Psychobilly|Mathcore|Classics
93	Alice in Chains	Pop|Gospel|Emo|Metallic Doom Rock|Jam rock|Grindcore|Hardcore techno|Grindcore|Detroit techno
94	Dokken	Grindcore|Pop|Funk metal|Jam rock|Grindcore|Trance|Ghetto Rock
95	AWOLNATION	Sacred|Metallic Doom Rock|Post-punk|Pop|Afro-Caribbean|Gospel|Clownstep|Madrigal|Psychedelic rock|Salsa|Alternative|Danzón|Virtual band|Avant-garde jazz|Gothic rock|Music of Andalusia
96	Dethklok	Goregrind|Jam rock|Sonata form|Tech House|Grunk|Blues|Grindcore|Outsider|Avant-garde|Folk metal|Darkcore
97	Rainbow	Grindcore|Grindcore|Pop|Jam rock|Breakbeat hardcore|Psychobilly|Mathcore|Melodic hardcore|Music of Rostov
98	The Heavy	Bluegrass|Sacred|Pop|Classic rock|Post-punk|Emo violence|Music of Wyoming|Melodic hardcore|Metallic Doom Rock|Trip rock|UK hardcore|Doo-wop|Gospel|UK hardcore|Psychedelic trance|Go go|Ramkbach|Alternative
99	The Black Keys	Classic rock|Pop|Sacred|Post-punk|Psychedelic trance|Metallic Doom Rock|Gospel|Música Popular Brasileira|Emo violence|Symphonic|Emo|Pagan rock|Punk rock|Grindcore|Adult album alternative|Bluegrass
100	Ray Wilson	Breakbeat hardcore|Music of Montenegro|Metallic Doom Rock|Bozlak|Psychedelic rock|Gospel|Music of Rostov|Grindcore|Kadans|Techno|Punk blues|Grunge|Emo|Melodic hardcore|Acid rock|Glam rock|Electronic art|Hardcore techno|Music of Montenegro|Synthpunk|Micronesian
101	Кравц	Acoustic guitar|Low Bap|Sacred|Psychedelic rock|Alternative dance|Metallic Doom Rock|Rapcore
102	Believe	Mozarabic chant|Pop|Grunk|Music of Rostov|Alternative dance|Seven-string guitar|Metallic Doom Rock|Industrial|Dub poetry
103	Ronnie James Dio & Yngwie Malmsteen	Emo|Jam rock|Grindcore|Pop|Emo violence
104	Amaranthe	Psychobilly|Jam rock|Sludge metal|Drum and bass|Hardcore techno|Crust punk|Psychedelic rock|Jam band|Post-rock|Grindcore|Doo-wop|Manila sound|Celtic punk|New Wave|Gabber
105	Avenged Sevenfold	Jam rock|Emo|Seven-string guitar|Pop|Grindcore|Oriental metal|Hardcore techno|Industrial|Japanese Pop|Metallic Doom Rock|Gospel|New Wave|Psychobilly|Melodic death metal|Post-rock|Nu metal|Drum and bass|Folk metal
106	Annihilator	Samba|Grindcore|Jam rock|Disc jockey|Alternative-reggaeton|Deathcore|Post-rock|Emo|Pop
107	Warren G	Alternative country|Acoustic guitar|Madrigal|Chiptune|Electronic art|Madrigal|Bluegrass|East Coast hip hop|Punk blues|Alternative country|Soul, Pop, RnB, Gospel, Hip Hop|East Coast hip hop
108	Demians	Post-rock|Music of Rostov|Pop|Gospel|Mozarabic chant|Jam rock|Metallic Doom Rock|Hardcore techno|Grunge|Virtual band|Urban jazz|Shahin and Sepehr|Educational
109	Maqama	Breakbeat hardcore|Pop|Emo|Virtual band|Freak folk
110	Dope	New Wave|Jam rock|Christian rock|Pop|Emo|New Wave|Metallic Doom Rock|Hardcore techno|Gothic rock|Grindcore|Sludge metal|Seven-string guitar|Gospel|Drum and bass|Folk metal
111	Gamma Ray	Grindcore|Samba|Jam rock|Post-rock|Jam band|Pop|Emo
112	Sum 41 vs. Tenacious D	Emo
113	Bastille	Doo-wop|Metallic Doom Rock|Heavy metal|Psychedelic rock|Clownstep|Post-punk|Gospel|Pop|Deathrock|Viking metal|Salsa|Acid rock|Hard trance|Kusemai|Melodic hardcore|Electronic opera|Visual Kei|Glam rock|Afro-Caribbean
114	Sum 41	Japanese Pop|Goa trance|Pop|Metallic Doom Rock|Gospel|Industrial|Goa trance|Madchester|Psychedelic rock|Jam rock|Emo|Sacred|Seven-string guitar|Acid rock|Funkcore|Nu metal|Hardcore techno|Post-punk|Nu metal
115	Tenacious D	Sonata form|Emo|Gospel|Metallic Doom Rock|Danish hip hop|Jam rock|Bozlak|Grindcore|Sacred|Grindcore|Kadans|African Rap|Japanese Pop|Avant-garde|Grunk|Nu metal
116	School of Rock	Grunk|Emo|Sonata form|Grindcore|Metallic Doom Rock|Indian folk|Jam rock|Japanese Pop|Gospel|Industrial|Danish hip hop|Minimal techno|Power electronics|Grunk
118	Aeon	Pop|Drum and bass|Psychobilly|Music of Rostov|Mozarabic chant|Tech House|Jam rock|Post-rock|Grindcore|Blues|Gospel|Black gospel|Mambo|Nu metal|Dub poetry|Grindcore|Sludge metal|Madrigal|Madrigal|Psychedelic rock|Japanese Pop|Metallic Doom Rock|Seven-string guitar|Grunge|Virtual band|Modal jazz|Emo|Visual Kei|Electronic art|Vocal Improvisation|Manila sound|Celtic punk|Funkcore|Madchester|Darkcore|Deathcore|Madchester|Dub poetry
119	Abraxas	Pop|Emo|Psychedelic rock|Grime|Breakbeat hardcore|Ghetto Rock|Acid rock|Jam rock|Acid rock
120	Foreigner	Pop|Music of Rostov|Grindcore|Mozarabic chant|Dub poetry|Psychedelic rock|Music of Montenegro|Post-rock|Ghetto Rock
121	Fish	Pop|Grindcore|Music of Rostov|Mozarabic chant|Dub poetry|Dub poetry|Metallic Doom Rock|Gospel|Psychedelic rock|Post-rock|Melodic hardcore|Urban jazz|Emo|Acid rock
122	Marillion	Metallic Doom Rock|Doo-wop|Pop|Sacred|Gospel|Music of Montenegro|Salsa|Educational|Grunge|Modal jazz|Visual Kei|Breakbeat hardcore|Música Popular Brasileira|Adult album alternative|Alternative dance|Post-punk|Freak folk|Modal jazz
123	John Frusciante and Josh Klinghoffer	Emo|Jam rock|Pop punk|Pop|Grindcore|Mathcore|Samba|Folk metal|Melodic hardcore
124	Diamond Head	Flamenco|Christian entertainment industry|Tech House|Jam rock|Darkcore|Christian entertainment industry|Christian punk|Seven-string guitar|Dirtcore|Christian entertainment industry
125	Misery Index	Madrigal|Chiptune|Madrigal|Madrigal|Psychedelic rock|Soul, Pop, RnB, Gospel, Hip Hop|Industrial|Electronic opera|Pop|Metallic Doom Rock
127	50 Cent	Breakbeat hardcore|Jam rock|Metallic Doom Rock|Pop|Music of Rostov|Gospel|Hardcore techno|Virtual band|Christian rock|Emo|Adult album alternative|Mozarabic chant|Grindcore|Progressive rock|Punk rock|New Wave
128	Municipal Waste	Grindcore|Psychobilly|Jam rock|Trash rock|Emo|Pop|Alternative dance|Agung|Music of Africa|Trash rock|Post-rock|Agung|Samba|Grindcore|Jam band|Breakbeat hardcore|Belgian hip hop|Music of Rostov|Trash rock|Shock rock|Agung
129	Tool	Breakbeat hardcore|Pop|Psychedelic rock|Urban jazz|Doo-wop|Mozarabic chant|Music of Rostov|Acid rock|Christian alternative rock|Grime|Melodic hardcore|Mambo|Metallic Doom Rock|Power electronics|Acid rock|Electronic opera|Deathrock|Adult album alternative|Sacred|Emo|Indian folk|Salsa|Gospel|Folk rock|Punk rock|Milonga
130	Yngwie Malmsteen	Metallic Doom Rock|Gospel|Sacred|Post-punk|Psychedelic trance|Classic rock|Emo violence|Japanese Pop|Symphonic|Emo|Grindcore|Pagan rock|Música Popular Brasileira|Emo violence|G-funk|Psychedelic rock|Nu metal|Progressive rock|Music of Montenegro|Jam rock|Virtual band|Breakbeat hardcore
131	Electric Light Orchestra	Samba|Jam rock|Emo|Post-rock|Pop|Psychobilly|Alternative dance|Trash rock|Metallic Doom Rock|Breakbeat hardcore|Music of Rostov|Funk metal|Grindcore|Music of Africa|Folk metal|Seven-string guitar|Detroit techno|Drum and bass
132	The White Stripes	Electronic opera|Heavy metal|Pop|Salsa|Psychedelic rock|Trip hop|Metallic Doom Rock|Alternative|Visual Kei|Afro-Caribbean|Gospel|Alternative|Art rock|Virtual band|Mambo|Ramkbach|Choral|Afro-jazz
133	Racer X	Pop|Metallic Doom Rock|Gospel|Japanese Pop|Sacred|Emo|Nu metal|Jam rock|Grindcore|Post-punk
134	BodyRockers	Metallic Doom Rock|Gospel|Nu metal|Japanese Pop|Minimal techno|G-funk|Alternative rock|Rapcore|Slovenian-style polka|Space age pop
135	Nirvana	Electronic opera|Doo-wop|Danzón|Baqashot|Music of Montenegro|Power trio|Salsa|Deathrock|Visual Kei|Power trio|Pop|Christian alternative rock|Trip hop|Metallic Doom Rock|Soul, Pop, RnB, Gospel, Hip Hop|Danzón
136	Strachy Na Lachy	Drum and bass|Jam rock|Psychobilly|Blues|Hardcore punk|Samba|Grindcore|Folk metal|Celtic Fusion
137	Lady Gaga	Madrigal|Madrigal|Psychedelic rock|Madrigal|Chiptune|Pop|Metallic Doom Rock|Music of Montenegro|Industrial|Electronic opera
138	Kalmah	Pop|Emo|Trance|Psychedelic rock|Breakbeat hardcore|Metallic Doom Rock|Acid rock|Melodic hardcore|Mozarabic chant|Jam rock|Grindcore|Grebo|Gospel
139	Eminem	Japanese Pop|Pop|Metallic Doom Rock|Gospel|Goa trance|Emo|Madchester|Jam rock|Goa trance|Nu metal|Seven-string guitar|Sacred|Progressive rock|Nu metal|Psychedelic rock
140	Queen	Electronic opera|Traditional|Soul, Pop, RnB, Gospel, Hip Hop|Music of Montenegro|Two Tone Ska|Pop|Doo-wop|Power trio|Acid rock|Power trio
141	The Offspring	Grunge|Alternative dance|Neo-classical metal|Ramkbach|Music of Rostov|Jam rock|Modal jazz|Sludge metal|Modal jazz|Christian punk|Deathrash
142	Enrique Iglesias	Emo|Rare groove|Grindcore|Electronica|Grindcore|Jam rock|Sacred|Post-punk|Música Popular Brasileira|Psychedelic trance|Trance|Symphonic|Funk metal|New Wave of British Heavy Metal
